Annexure II-  CNX Nifty Index : December  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for December 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost December 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
23,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,542,754,210.00","126,826.01",6.133444742,1.537967694,0.598319264,2.477518581,2.816637814,0.05
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,"15,161,489,910.00","13,752.01",0.665062126,1.696552882,0.465551475,2.468536981,5.435305435,0.05
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,"5,242,775,200.00","17,896.79",0.865508417,1.692361304,0.502111698,2.172970325,-0.355281857,0.06
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,"2,871,180,830.00","168,262.15",8.137341766,0.439671442,0.050068802,1.023301458,3.908124786,0.04
27,ITC,I T C Ltd.,CIGARETTES,"7,931,451,480.00","177,496.44",8.583922314,0.881161942,0.368695293,0.885712512,0.452559301,0.05
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"934,636,588.00","9,970.76",0.482196909,1.113185214,0.210353817,2.34441404,1.104009297,0.06
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,"4,438,167,118.00","6,630.74",0.320669771,2.295222241,0.472344993,1.998513961,1.020408163,0.08
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,"3,843,988,690.00","27,676.12",1.338447331,1.218714547,0.492997034,1.377831218,-3.772463002,0.06
31,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,851,776,376.00","87,140.37",4.214203442,1.472477431,0.579857326,2.130946113,2.323246809,0.05
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,"896,355,852.00","21,659.71",1.047487494,0.412838899,0.086455267,1.09400698,6.110883917,0.06
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"3,079,461,920.00","43,459.97",2.10177152,0.860444391,0.30964912,1.370557929,-0.111081724,0.06
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,510,400,300.00","23,334.94",1.12850318,0.940495264,0.307175585,1.583173269,5.235211646,0.04
35,NMDC,NMDC Ltd.,MINING,"3,964,716,000.00","11,249.39",0.544032745,0.976668462,0.289312159,1.260449617,7.094339623,0.07
36,NTPC,NTPC Ltd.,POWER,"82,454,644,000.00","28,240.72",1.365751914,0.733945872,0.214872749,2.819187065,-6.960950764,0.05
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"42,777,450,600.00","51,118.57",2.472149844,1.246687363,0.407226055,1.985656533,-3.410230692,0.07
38,PNB,Punjab National Bank,BANKS,"3,534,733,960.00","9,327.95",0.451109812,1.577574624,0.469552729,2.120951569,13.92071286,0.06
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"52,315,896,480.00","22,005.53",1.064211435,0.617945662,0.177435765,1.309644881,5.047318612,0.05
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,115,708,910.00","6,999.21",0.338489251,1.186166874,0.118509172,2.238563002,7.443404054,0.06
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,312,461,770.00","147,132.69",7.115497819,1.075085303,0.505890117,1.504412333,4.922644163,0.06
42,SBIN,State Bank of India,BANKS,"6,840,339,710.00","45,539.06",2.202318633,1.145232902,0.424520379,1.358516041,-2.910220121,0.04
43,SSLT,Sesa Sterlite Ltd.,MINING,"2,964,674,487.00","24,961.79",1.207179375,1.213465121,0.225366108,1.803145011,10.29492081,0.07
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"2,071,163,910.00","42,718.91",2.065933419,0.624406348,0.154638487,1.513868692,-0.795454545,0.06
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"5,473,411,434.00","67,644.76",3.271374545,1.032711069,0.272236587,1.487127642,-5.593177828,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,373,072,360.00","14,639.16",0.707966003,0.952535392,0.234024258,2.482625464,14.90566038,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"9,712,152,290.00","28,281.43",1.367720967,1.27165762,0.357815838,1.086560177,5.891163255,0.04
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,958,727,979.00","110,794.09",5.358123669,0.447327778,0.104097247,1.319203556,8.366802205,0.05
