Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost,Market Capitalisation Type,Year,Month
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,913,427,425"," 19,667 ",1.30%,1.25,0.49,2.70 ,16.47 ,0.07,Free,2009,Dec
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,181,233,770"," 27,704 ",1.83%,0.35,0.14,1.12 ,(7.15),0.06,Free,2009,Dec
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,135,680,520"," 97,660 ",6.45%,1.51,0.69,1.79 ,1.05 ,0.06,Free,2009,Dec
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 9,170 ",0.61%,1.09,0.5,2.38 ,13.94 ,0.09,Free,2009,Dec
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,960,901,040"," 14,507 ",0.96%,1.38,0.55,2.22 ,(6.99),0.07,Free,2009,Dec
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,866,558,465"," 124,548 ",8.22%,0.68,0.38,1.08 ,9.32 ,0.05,Free,2009,Dec
23,ITC,I T C Ltd.,CIGARETTES,"3,787,921,580"," 64,639 ",4.27%,0.6,0.32,1.09 ,(2.45),0.06,Free,2009,Dec
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"930,781,836"," 27,112 ",1.79%,1.18,0.5,1.67 ,2.19 ,0.06,Free,2009,Dec
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"4,206,181,902"," 16,527 ",1.09%,1.7,0.59,7.55 ,(2.66),0.07,Free,2009,Dec
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,200,545,626"," 100,702 ",6.65%,1.25,0.69,1.24 ,3.90 ,0.06,Free,2009,Dec
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,798,212,650"," 21,959 ",1.45%,1.12,0.48,1.76 ,5.00 ,0.07,Free,2009,Dec
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 20,639 ",1.36%,0.63,0.28,1.44 ,0.18 ,0.06,Free,2009,Dec
29,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 20,403 ",1.35%,0.59,0.4,1.79 ,12.32 ,0.05,Free,2009,Dec
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 39,734 ",2.62%,0.86,0.49,1.07 ,(1.81),0.07,Free,2009,Dec
31,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 12,058 ",0.80%,0.94,0.48,1.02 ,0.32 ,0.06,Free,2009,Dec
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 6,322 ",0.42%,0.74,0.41,0.95 ,10.37 ,0.06,Free,2009,Dec
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,102,086,790"," 7,856 ",0.52%,0.85,0.24,1.85 ,13.62 ,0.05,Free,2009,Dec
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 11,663 ",0.77%,1.53,0.61,1.65 ,0.29 ,0.07,Free,2009,Dec
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 9,799 ",0.65%,1.71,0.66,1.37 ,3.01 ,0.06,Free,2009,Dec
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,862,425,320"," 192,316 ",12.70%,1.22,0.72,1.67 ,2.54 ,0.08,Free,2009,Dec
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 16,082 ",1.06%,1.6,0.66,1.59 ,9.48 ,0.07,Free,2009,Dec
38,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,658 ",0.37%,1.03,0.53,2.11 ,8.61 ,0.08,Free,2009,Dec
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 14,157 ",0.93%,1.38,0.62,2.27 ,22.60 ,0.06,Free,2009,Dec
40,SBIN,State Bank of India,BANKS,"6,348,802,220"," 58,466 ",3.86%,1.17,0.66,1.26 ,1.31 ,0.05,Free,2009,Dec
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 8,800 ",0.58%,1.16,0.52,1.71 ,10.50 ,0.08,Free,2009,Dec
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,680,783,722"," 34,820 ",2.30%,1.39,0.55,1.98 ,0.72 ,0.07,Free,2009,Dec
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 11,339 ",0.75%,0.54,0.18,1.44 ,3.93 ,0.07,Free,2009,Dec
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,463,486"," 6,600 ",0.44%,1.52,0.44,2.47 ,14.66 ,0.07,Free,2009,Dec
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,798,380,830"," 21,357 ",1.41%,1.18,0.36,2.19 ,19.36 ,0.05,Free,2009,Dec
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,371,886,650"," 22,589 ",1.49%,0.82,0.46,0.83 ,1.98 ,0.06,Free,2009,Dec
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 37,722 ",2.49%,1.46,0.55,2.16 ,6.65 ,0.05,Free,2009,Dec
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 37,701 ",2.49%,0.86,0.42,1.01 ,8.98 ,0.06,Free,2009,Dec
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 11,040 ",0.73%,1.71,0.49,1.95 ,3.78 ,0.08,Free,2009,Dec
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,934,308,646"," 20,269 ",1.34%,0.77,0.38,1.08 ,8.10 ,0.06,Free,2009,Dec
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 7,781 ",0.45%,0.91,0.55,2.81 ,(24.31),0.11,Total,2009,Feb
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,876,827,780"," 10,136 ",0.59%,0.7,0.37,2.61 ,6.64 ,0.08,Total,2009,Feb
