Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost,Market Capitalisation Type,Year,Month
40,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,48803.12,1.09,1.38,0.22,1.92,-1.93,0.03,Free,2018,Jul
41,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266104310.0,42500.65,0.95,1.79,0.37,2.49,-0.83,0.02,Free,2018,Jul
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3828575182.0,207989.64,4.64,0.27,0.02,1.41,5.0,0.02,Free,2018,Jul
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4901028920.0,42705.61,0.95,0.41,0.02,1.59,3.86,0.02,Free,2018,Jul
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,38068.67,0.85,1.03,0.1,2.05,3.85,0.02,Free,2018,Jul
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746190710.0,43764.5,0.98,1.14,0.27,1.78,9.83,0.03,Free,2018,Jul
46,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,23619.03,0.53,1.47,0.23,3.68,4.08,0.03,Free,2018,Jul
47,VEDL,Vedanta Ltd.,MINING,3717196639.0,41298.05,0.92,1.76,0.31,2.39,-5.93,0.02,Free,2018,Jul
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9047953106.0,31260.68,0.7,0.35,0.03,1.1,5.7,0.02,Free,2018,Jul
49,YESBANK,Yes Bank Ltd.,BANKS,4610330290.0,67854.84,1.51,1.32,0.24,1.51,8.33,0.02,Free,2018,Jul
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960463070.0,29365.87,0.65,0.71,0.12,1.39,-3.09,0.03,Free,2018,Jul
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,26274.37,0.62,1.39,0.31,1.34,-4.84508479,0.03,Free,2018,Jun
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,57004.31,1.35,0.7,0.15,0.91,-3.08128617,0.02,Free,2018,Jun
3,AXISBANK,Axis Bank Ltd.,BANKS,5135809672.0,87882.95,2.08,1.22,0.2,1.17,-6.42974904,0.02,Free,2018,Jun
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,38220.78,0.9,1.06,0.3,1.65,2.18158019,0.02,Free,2018,Jun
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,54415.93,1.29,1.15,0.16,1.67,8.8369117,0.01,Free,2018,Jun
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795675485.0,35200.97,0.83,1.24,0.24,1.46,-3.66006041,0.03,Free,2018,Jun
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,29152.15,0.69,1.15,0.14,2.43,-7.58757272,0.02,Free,2018,Jun
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535.0,50384.63,1.19,1.05,0.12,1.78,2.23501071,0.03,Free,2018,Jun
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,25571.39,0.6,0.62,0.05,1.23,0.63619622,0.03,Free,2018,Jun
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1610280502.0,31278.85,0.74,0.88,0.12,1.69,17.50190549,0.02,Free,2018,Jun
11,COALINDIA,Coal India Ltd.,MINING,62074091770.0,34459.5,0.81,0.7,0.09,1.25,-10.76793249,0.03,Free,2018,Jun
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,829866140.0,27079.97,0.64,0.73,0.06,2.15,15.41102964,0.02,Free,2018,Jun
13,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272663000.0,38977.79,0.92,0.87,0.14,1.29,-7.11550926,0.02,Free,2018,Jun
14,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,29924.23,0.71,0.92,0.11,2.06,-3.03505272,0.02,Free,2018,Jun
15,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1314880046.0,39716.61,0.94,1.08,0.12,1.18,-3.16887863,0.02,Free,2018,Jun
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2784773728.0,51587.93,1.22,0.41,0.03,1.27,1.74658099,0.02,Free,2018,Jun
17,HDFCBANK,HDFC Bank Ltd.,BANKS,5206599334.0,433625.25,10.25,0.77,0.29,0.99,-1.44897053,0.02,Free,2018,Jun
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399422910.0,45090.35,1.07,0.79,0.2,0.89,-2.01416119,0.01,Free,2018,Jun
19,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245051892.0,33636.49,0.8,1.71,0.29,1.98,-1.57984629,0.03,Free,2018,Jun
20,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250.0,19353.77,0.46,1.35,0.14,2.61,-16.88311688,0.02,Free,2018,Jun
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164633806.0,117232.13,2.77,0.77,0.21,1.1,1.8430606,0.01,Free,2018,Jun
22,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3360549276.0,307788.68,7.28,1.08,0.33,0.97,4.09710857,0.01,Free,2018,Jun
23,ITC,I T C Ltd.,CIGARETTES,12204294912.0,227414.83,5.38,0.94,0.18,0.93,-2.00625805,0.02,Free,2018,Jun
24,ICICIBANK,ICICI Bank Ltd.,BANKS,12861352008.0,177100.82,4.19,1.43,0.24,1.78,-3.63890833,0.02,Free,2018,Jun
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,853185642.0,37528.44,0.89,1.41,0.26,1.9,-8.06308844,0.03,Free,2018,Jun
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,97118099280.0,33330.93,0.79,1.06,0.14,2.09,-10.39632395,0.03,Free,2018,Jun
27,INDUSINDBK,IndusInd Bank Ltd.,BANKS,6004052860.0,98608.76,2.33,0.84,0.19,1.15,-1.18898463,0.02,Free,2018,Jun
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,10920635455.0,248392.91,5.87,0.74,0.11,1.41,6.12112356,0.02,Free,2018,Jun
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9530225645.0,179180.63,4.24,0.87,0.23,0.83,0.62565563,0.02,Free,2018,Jun
30,LT,Larsen & Toubro Ltd.,ENGINEERING,2803455202.0,157286.17,3.72,1.28,0.4,1.36,-6.95417396,0.02,Free,2018,Jun
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,904245940.0,21657.32,0.51,1.02,0.12,1.94,17.32329461,0.02,Free,2018,Jun
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,83701.05,1.98,0.82,0.16,1.41,-2.73579284,0.01,Free,2018,Jun
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,117305.66,2.77,0.95,0.31,1.02,3.37815677,0.01,Free,2018,Jun
34,NTPC,NTPC Ltd.,POWER,82454644000.0,50022.76,1.18,0.73,0.16,1.1,-4.71501044,0.03,Free,2018,Jun
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900.0,44721.26,1.06,0.89,0.15,1.3,-10.96121417,0.02,Free,2018,Jun
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,42033.47,0.99,0.52,0.1,1.25,-10.79016472,0.02,Free,2018,Jun
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,65074457180.0,341720.94,8.08,1.13,0.29,1.48,5.54620937,0.02,Free,2018,Jun
38,SBIN,State Bank of India,BANKS,8924587534.0,97212.85,2.3,1.71,0.2,1.54,-3.78408459,0.02,Free,2018,Jun
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399324494.0,62248.07,1.47,1.07,0.11,2.28,17.41438534,0.02,Free,2018,Jun
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3828575182.0,198078.99,4.68,0.36,0.03,1.16,6.12848568,0.02,Free,2018,Jun
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,49764.03,1.18,1.3,0.2,2.29,-4.67256637,0.02,Free,2018,Jun
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266104310.0,42855.42,1.01,1.67,0.36,1.69,-1.37236168,0.02,Free,2018,Jun
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4901028920.0,41118.46,0.97,0.44,0.03,2.02,-7.98764652,0.02,Free,2018,Jun
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,36656.25,0.87,1.06,0.11,2.0,-2.39973336,0.02,Free,2018,Jun
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,22693.05,0.54,1.41,0.29,1.59,-12.54946297,0.02,Free,2018,Jun
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746190710.0,39849.09,0.94,1.1,0.27,1.43,1.96800983,0.02,Free,2018,Jun
47,VEDL,Vedanta Ltd.,MINING,3717196639.0,43900.09,1.04,1.81,0.34,1.27,-4.87313733,0.02,Free,2018,Jun
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9047953106.0,29575.5,0.7,0.41,0.04,0.98,-0.15273005,0.02,Free,2018,Jun
49,YESBANK,Yes Bank Ltd.,BANKS,4610330290.0,62635.95,1.48,1.39,0.25,1.18,-1.89196996,0.03,Free,2018,Jun
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960463070.0,30301.75,0.72,0.74,0.12,1.29,-2.1760633,0.02,Free,2018,Jun
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,27132.99,0.7,1.29,0.21,2.2,-13.29,0.03,Free,2018,Mar
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3971290458.0,17114.57,0.44,0.96,0.19,1.49,-7.69,0.03,Free,2018,Mar
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,50510.2,1.29,0.66,0.12,1.2,0.24,0.02,Free,2018,Mar
4,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585882409.0,15688.06,0.4,0.98,0.09,1.25,-9.13,0.02,Free,2018,Mar
5,AXISBANK,Axis Bank Ltd.,BANKS,5128223384.0,81156.7,2.08,1.24,0.22,1.64,-3.45,0.03,Free,2018,Mar
6,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,37328.61,0.96,1.07,0.31,1.2,-9.13,0.03,Free,2018,Mar
7,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1153034616.0,41779.95,1.07,1.34,0.2,1.64,7.76,0.02,Free,2018,Mar
8,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,33380.9,0.86,0.93,0.12,2.15,-0.49,0.02,Free,2018,Mar
9,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510.0,52594.19,1.35,1.22,0.16,2.23,-6.97,0.03,Free,2018,Mar
10,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,26113.32,0.67,0.84,0.07,1.98,-3.04,0.03,Free,2018,Mar
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,305207400.0,16497.27,0.42,0.78,0.14,1.4,-3.58,0.04,Free,2018,Mar
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1609889380.0,27660.6,0.71,0.75,0.09,0.92,-7.5,0.02,Free,2018,Mar
13,COALINDIA,Coal India Ltd.,MINING,62074091770.0,36929.74,0.95,0.71,0.1,1.76,-8.36,0.03,Free,2018,Mar
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,829436320.0,25194.98,0.65,0.71,0.06,1.14,-7.0,0.03,Free,2018,Mar
15,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272367080.0,37866.1,0.97,0.9,0.14,1.38,3.41,0.02,Free,2018,Mar
16,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,28154.34,0.72,0.81,0.09,1.49,-4.25,0.02,Free,2018,Mar
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2784248928.0,53936.47,1.38,0.27,0.02,1.53,3.01,0.02,Free,2018,Mar
18,HDFCBANK,HDFC Bank Ltd.,BANKS,5176128234.0,385626.47,9.88,0.78,0.32,1.01,0.1,0.03,Free,2018,Mar
19,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399414042.0,45988.93,1.18,0.86,0.2,1.33,-1.5,0.02,Free,2018,Mar
20,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2244889146.0,31306.66,0.8,1.71,0.33,2.26,-12.57,0.03,Free,2018,Mar
21,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250.0,25749.02,0.66,1.18,0.11,2.14,-9.29,0.02,Free,2018,Mar
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164478571.0,95238.25,2.44,0.79,0.19,0.86,1.18,0.02,Free,2018,Mar
23,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3194124080.0,291559.65,7.47,1.07,0.28,1.29,0.93,0.01,Free,2018,Mar
24,ITC,I T C Ltd.,CIGARETTES,12188208322.0,217986.11,5.59,1.06,0.18,1.29,-3.6,0.02,Free,2018,Mar
25,ICICIBANK,ICICI Bank Ltd.,BANKS,12843505078.0,178749.48,4.58,1.48,0.26,1.88,-11.14,0.03,Free,2018,Mar
26,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,851865488.0,40050.88,1.03,1.2,0.18,1.57,-1.34,0.03,Free,2018,Mar
27,IOC,Indian Oil Corporation Ltd.,REFINERIES,97118099280.0,36017.22,0.92,0.84,0.09,2.25,-6.88,0.03,Free,2018,Mar
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5993676140.0,91537.67,2.35,0.81,0.19,0.84,6.9,0.02,Free,2018,Mar
29,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,11484966335.0,226177.12,5.8,0.69,0.09,1.02,-3.48,0.02,Free,2018,Mar
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,9522077710.0,139681.26,3.58,0.81,0.21,0.96,-3.92,0.02,Free,2018,Mar
31,LT,Larsen & Toubro Ltd.,ENGINEERING,2802063242.0,161621.89,4.14,1.3,0.37,1.27,-0.55,0.03,Free,2018,Mar
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,903920698.0,17626.48,0.45,0.84,0.08,1.33,-10.26,0.02,Free,2018,Mar
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,68894.62,1.77,0.8,0.16,1.26,1.45,0.02,Free,2018,Mar
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,117777.51,3.02,1.04,0.31,1.16,0.11,0.02,Free,2018,Mar
35,NTPC,NTPC Ltd.,POWER,82454644000.0,51772.45,1.33,0.66,0.13,1.39,3.95,0.03,Free,2018,Mar
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,64166175900.0,50198.48,1.29,0.82,0.13,1.23,-5.58,0.03,Free,2018,Mar
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,42462.2,1.09,0.48,0.07,0.87,-2.25,0.02,Free,2018,Mar
38,RELIANCE,Reliance Industries Ltd.,REFINERIES,65050705050.0,304327.36,7.8,1.18,0.28,1.37,-7.53,0.02,Free,2018,Mar
39,SBIN,State Bank of India,BANKS,8632053793.0,92757.46,2.38,1.75,0.2,2.33,-6.75,0.02,Free,2018,Mar
40,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399309346.0,54643.31,1.4,0.89,0.08,1.56,-7.52,0.02,Free,2018,Mar
41,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1914287591.0,141806.4,3.63,0.39,0.03,1.54,-6.13,0.02,Free,2018,Mar
42,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,60398.71,1.55,1.41,0.27,1.78,-11.64,0.03,Free,2018,Mar
43,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266104310.0,44391.21,1.14,1.57,0.3,2.24,-14.97,0.02,Free,2018,Mar
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4885459220.0,39940.39,1.02,0.53,0.03,1.94,4.25,0.02,Free,2018,Mar
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1016713494.0,26728.38,0.68,1.31,0.26,1.41,0.21,0.03,Free,2018,Mar
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2745519210.0,41210.24,1.06,1.12,0.26,1.51,-4.95,0.03,Free,2018,Mar
47,VEDL,Vedanta Ltd.,MINING,3717194239.0,51641.12,1.32,1.72,0.28,2.54,-15.74,0.02,Free,2018,Mar
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9046701874.0,31793.5,0.81,0.28,0.02,1.59,-3.98,0.02,Free,2018,Mar
49,YESBANK,Yes Bank Ltd.,BANKS,4595212580.0,56034.02,1.44,1.32,0.22,2.09,-5.41,0.03,Free,2018,Mar
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960453620.0,31506.24,0.81,0.73,0.1,1.31,1.8,0.02,Free,2018,Mar
1,ADANIPORTS,"Adani Ports and Special Economic
Zone Ltd.",SERVICES,-,27612,0.65,-,-,-,-,-,Free,2018,May
2,ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,-,58817,1.39,-,-,-,-,-,Free,2018,May
3,AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,-,93857,2.22,-,-,-,-,-,Free,2018,May
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,-,37405,0.88,-,-,-,-,-,Free,2018,May
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,-,49998,1.18,-,-,-,-,-,Free,2018,May
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,-,36538,0.86,-,-,-,-,-,Free,2018,May
7,BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,-,31546,0.75,-,-,-,-,-,Free,2018,May
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOM,-,49283,1.17,-,-,-,-,-,Free,2018,May
9,INFRATEL,Bharti Infratel Ltd.,TELECOM,-,25410,0.6,-,-,-,-,-,Free,2018,May
10,CIPLA,Cipla Ltd.,PHARMA,-,26619,0.63,-,-,-,-,-,Free,2018,May
11,COALINDIA,Coal India Ltd.,METALS,-,38618,0.91,-,-,-,-,-,Free,2018,May
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,-,23455,0.55,-,-,-,-,-,Free,2018,May
13,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,-,41108,0.97,-,-,-,-,-,Free,2018,May
14,GAIL,GAIL (India) Ltd.,ENERGY,-,30861,0.73,-,-,-,-,-,Free,2018,May
15,GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,-,41010,0.97,-,-,-,-,-,Free,2018,May
16,HCLTECH,HCL Technologies Ltd.,IT,-,50696,1.2,-,-,-,-,-,Free,2018,May
17,HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,-,438389,10.37,-,-,-,-,-,Free,2018,May
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,-,46017,1.09,-,-,-,-,-,Free,2018,May
19,HINDALCO,Hindalco Industries Ltd.,METALS,-,34175,0.81,-,-,-,-,-,Free,2018,May
20,HINDPETRO,"Hindustan Petroleum Corporation
Ltd.",ENERGY,-,23285,0.55,-,-,-,-,-,Free,2018,May
21,HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,-,115103,2.72,-,-,-,-,-,Free,2018,May
22,HDFC,"Housing Development Finance
Corporation Ltd.",FINANCIAL SERVICES,-,306962,7.26,-,-,-,-,-,Free,2018,May
23,ITC,I T C Ltd.,CONSUMER GOODS,-,231977,5.49,-,-,-,-,-,Free,2018,May
24,ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,-,183665,4.35,-,-,-,-,-,Free,2018,May
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,-,40284,0.95,-,-,-,-,-,Free,2018,May
26,IOC,Indian Oil Corporation Ltd.,ENERGY,-,37198,0.88,-,-,-,-,-,Free,2018,May
27,INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,-,99765,2.36,-,-,-,-,-,Free,2018,May
28,INFY,Infosys Ltd.,IT,-,234064,5.54,-,-,-,-,-,Free,2018,May
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,-,178013,4.21,-,-,-,-,-,Free,2018,May
30,LT,Larsen & Toubro Ltd.,CONSTRUCTION,-,168998,4.0,-,-,-,-,-,Free,2018,May
31,LUPIN,Lupin Ltd.,PHARMA,-,18458,0.44,-,-,-,-,-,Free,2018,May
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,-,86055,2.04,-,-,-,-,-,Free,2018,May
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,-,113472,2.68,-,-,-,-,-,Free,2018,May
34,NTPC,NTPC Ltd.,ENERGY,-,52498,1.24,-,-,-,-,-,Free,2018,May
35,ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,-,50227,1.19,-,-,-,-,-,Free,2018,May
36,POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,-,47118,1.11,-,-,-,-,-,Free,2018,May
37,RELIANCE,Reliance Industries Ltd.,ENERGY,-,317709,7.52,-,-,-,-,-,Free,2018,May
38,SBIN,State Bank of India,FINANCIAL SERVICES,-,100051,2.37,-,-,-,-,-,Free,2018,May
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,-,53016,1.25,-,-,-,-,-,Free,2018,May
40,TCS,Tata Consultancy Services Ltd.,IT,-,173309,4.1,-,-,-,-,-,Free,2018,May
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,-,52203,1.24,-,-,-,-,-,Free,2018,May
42,TATASTEEL,Tata Steel Ltd.,METALS,-,44749,1.06,-,-,-,-,-,Free,2018,May
43,TECHM,Tech Mahindra Ltd.,IT,-,44664,1.06,-,-,-,-,-,Free,2018,May
44,TITAN,Titan Company Ltd.,CONSUMER GOODS,-,37558,0.89,-,-,-,-,-,Free,2018,May
45,UPL,UPL Ltd.,FERTILISERS & PESTICIDES,-,25949,0.61,-,-,-,-,-,Free,2018,May
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,-,39079,0.92,-,-,-,-,-,Free,2018,May
47,VEDL,Vedanta Ltd.,METALS,-,46149,1.09,-,-,-,-,-,Free,2018,May
48,WIPRO,Wipro Ltd.,IT,-,29619,0.7,-,-,-,-,-,Free,2018,May
49,YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,-,63783,1.51,-,-,-,-,-,Free,2018,May
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,-,30441,0.72,-,-,-,-,-,Free,2018,May
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,28775.25,0.66,1.33,0.3,1.87,14.68,0.03,Free,2018,Nov
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,60678.52,1.4,0.89,0.25,1.45,9.39,0.02,Free,2018,Nov
3,AXISBANK,Axis Bank Ltd.,BANKS,5137681032.0,110914.18,2.56,1.24,0.27,1.66,7.44,0.02,Free,2018,Nov
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,37342.21,0.86,1.04,0.25,1.5,5.86,0.03,Free,2018,Nov
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,60135.13,1.39,1.46,0.26,1.82,6.51,0.02,Free,2018,Nov
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795675485.0,36248.64,0.84,1.37,0.33,1.53,10.91,0.03,Free,2018,Nov
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,25333.4,0.59,1.58,0.21,2.77,17.92,0.03,Free,2018,Nov
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000535.0,41355.1,0.95,1.14,0.17,2.61,7.23,0.03,Free,2018,Nov
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,21844.8,0.5,0.39,0.03,1.51,-4.64,0.03,Free,2018,Nov
10,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1610433594.0,27436.59,0.63,0.84,0.15,2.34,-14.05,0.02,Free,2018,Nov
11,COALINDIA,Coal India Ltd.,MINING,62074091770.0,33444.28,0.77,0.52,0.06,0.98,-7.98,0.03,Free,2018,Nov
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830149400.0,32993.56,0.76,0.65,0.07,2.22,7.07,0.02,Free,2018,Nov
13,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272677000.0,31910.43,0.74,1.28,0.25,2.09,7.05,0.02,Free,2018,Nov
14,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,30944.08,0.71,0.77,0.1,1.56,-8.34,0.02,Free,2018,Nov
15,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,1315182576.0,34178.31,0.79,1.2,0.26,2.34,3.92,0.03,Free,2018,Nov
16,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,2785043328.0,56536.38,1.31,0.53,0.06,2.09,-3.85,0.02,Free,2018,Nov
17,HDFCBANK,HDFC Bank Ltd.,BANKS,5429877072.0,456510.26,10.54,0.72,0.3,0.94,11.34,0.02,Free,2018,Nov
18,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399422910.0,39660.3,0.92,0.88,0.2,2.22,10.6,0.02,Free,2018,Nov
19,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2245349407.0,33013.37,0.76,1.5,0.24,2.51,2.63,0.02,Free,2018,Nov
20,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,15238226250.0,17348.95,0.4,1.55,0.14,3.13,3.66,0.03,Free,2018,Nov
21,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2164644695.0,125293.96,2.89,0.74,0.19,1.41,8.16,0.02,Free,2018,Nov
